Number,Fit_Output,Protocol Name,PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Submitter,Submission Date,Activity Direction,Activity Qualifier,Qualified AC50,Log of AC50,Hill Coefficient,Curve R2,Data Type,Compound Type,Compound QC,Data Analysis QC,NCGC Comment,Curve Fit Model,Hill S0,Hill Sinf,Hill dS,Log AC50 Std Error,Curve Chi2f,Excluded Points,Number of Points,Activity at 0.732nM,Data0,Data1,Data2,Data3,Data4,Data5,Data6
,1,AID_361,1,842166,644422,Active,49,,,ncgc,19-Jan-06,increasing,=,1.06E-05,-4.98,1.78,1,qHTS,NIHSMR,QC'd by DPI,,0.9982,"4pHill (AC50,n,S0,Sinf)",0.66,82.01,81.35,0.02,1.32,{},7,,0.1,-0.8,2.2,1.6,5.6,44.2,78.1
,1,AID_361,2,842211,644466,Active,53,,,ncgc,19-Jan-06,decreasing,=,4.68E-06,-5.33,0.81,0.97,qHTS,NIHSMR,QC'd by DPI,,0.9668,"2pHill (AC50, n)",0,-100,100,0.08,5.06,{1.7},6,,2.7,1.3,0.6,-9.9,-42.3,-63.4,-62.4
,1,AID_361,3,842251,644511,Active,55,,,ncgc,19-Jan-06,increasing,=,2.61E-06,-5.58,2.04,0.99,qHTS,NIHSMR,QC'd by DPI,,0.9941,"4pHill (AC50,n,S0,Sinf)",2.65,99.02,96.37,0.04,3.39,{},7,,0.7,1.7,2.2,9.4,43.4,97.1,96.6
,1,AID_361,4,842291,644550,Active,55,,,ncgc,19-Jan-06,decreasing,=,2.87E-06,-5.54,0.93,1,qHTS,NIHSMR,QC'd by DPI,,0.9961,"2pHill (AC50, n)",0,-100,100,0.03,2.46,{},7,,1.7,1.9,-5.5,-16.9,-42.4,-80.9,-92.8
,1,AID_361,5,842394,644662,Active,61,,,ncgc,19-Jan-06,decreasing,=,7.90E-07,-6.1,1.13,0.99,qHTS,NIHSMR,QC'd by DPI,,0.9917,"2pHill (AC50, n)",0,-100,100,0.05,4.19,{},7,,0.8,-4.4,-10.1,-34.8,-74.3,-101.5,-104.6
,1,AID_361,6,842439,644704,Active,50,,,ncgc,19-Jan-06,decreasing,=,9.14E-06,-5.04,1.31,0.98,qHTS,NIHSMR,QC'd by DPI,,0.9833,"2pHill (AC50, n)",0,-100,100,0.05,4.58,{},7,,0,0.5,-1.7,1.8,-10.4,-61.7,-84.2
,1,AID_361,7,842476,644740,Active,49,,,ncgc,19-Jan-06,decreasing,=,1.08E-05,-4.97,1.04,1,qHTS,NIHSMR,QC'd by DPI,,0.9956,"2pHill (AC50, n)",0,-100,100,0.03,2.21,{},7,,1.8,-1,0,-1.9,-14.9,-54,-82.2
,1,AID_361,8,842680,644951,Active,50,,,ncgc,19-Jan-06,decreasing,=,9.21E-06,-5.04,1.12,1,qHTS,NIHSMR,QC'd by DPI,,0.9997,"2pHill (AC50, n)",0,-100,100,0.01,0.6,{1.4},6,,-0.5,-0.5,0.3,-6.4,-17.1,-56.3,-88.2
,1,AID_361,9,842687,644958,Active,58,,,ncgc,19-Jan-06,decreasing,=,1.31E-06,-5.88,1.06,0.99,qHTS,NIHSMR,QC'd by DPI,,0.9949,"2pHill (AC50, n)",0,-100,100,0.04,3.02,{},7,,1.6,0.5,-6,-22.7,-67.6,-87.4,-94.6
,1,AID_361,10,842761,645036,Active,53,,,ncgc,19-Jan-06,decreasing,=,4.06E-06,-5.39,0.86,0.99,qHTS,NIHSMR,QC'd by DPI,,0.9904,"2pHill (AC50, n)",0,-100,100,0.05,3.62,{},7,,3.7,2.2,-5.2,-11.9,-37.6,-74.1,-85.6
